Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
SH3GL1	SH3-domain GRB2-like 1 (EEN)	6455.0	19:4360370-4400547	1		19p13.3	yes		AL			L	Dom	oncogene, fusion	T	KMT2A			CCDS32874.1,CNSA1,EEN,ENSG00000141985.9,MGC111371,NM_003025.3,NP_003016,Q99961,SH3D2B,SH3P8
SIX1	SIX homeobox 1	6495.0	14:60643415-60649462	1	Yes	14q23.1	yes		Wilms tumour			O		oncogene	Mis				CCDS9748.1,DFNA23,ENSG00000126778.9,Q15475
SIX2	SIX homeobox 2	10736.0	2:45005161-45009430	2		2p21	yes		Wilms tumour			O		oncogene	Mis				CCDS1822.1,ENSG00000170577.7,NM_016932.4,NP_058628,Q9NPC8
SKI	SKI proto-oncogene	6497.0	1:2228695-2310119	2		1p36.33	yes		melanoma			E		oncogene	Mis				CCDS39.1,ENSG00000157933.9,NM_003036.3,NP_003027,P12755
SMO	smoothened homolog (Drosophila)	6608.0	7:129188872-129213545	1	Yes	7q32.1	yes		skin basal cell			E	Dom	oncogene	Mis				CCDS5811.1,ENSG00000128602.9,FZD11,NM_005631.4,NP_005622,Q99835,SMOH
SND1	staphylococcal nuclease and tudor domain containing 1	27044.0	7:127652180-128092607	1		7q32.1	yes		pancreas acinar carcinoma			E	Dom	oncogene, fusion	T	BRAF			CCDS34747.1,ENSG00000197157.10,NM_014390.2,NP_055205,Q7KZF4,TDRD11,p100
SOX2	SRY (sex determining region Y)-box 2	6657.0	3:181711924-181714436	1		3q26.33	yes		NSCLC, oesophageal squamous carcinoma			E	Dom	oncogene	A		yes	Microphthalmia and oesophageal atresia syndrome	CCDS3239.1,ENSG00000181449.3,NM_003106.3,NP_003097,P48431
SRC	SRC proto-oncogene, non-receptor tyrosine kinase	6714.0	20:37346154-37406050	1	Yes	20q11.23	yes		colorectal cancer, endometrial carcinoma			E	Dom	oncogene	Mis, N				ASV,CCDS13294.1,ENSG00000197122.11,NP_005408.1,NP_938033.1,P12931,SRC1,c-src
SRSF2	serine/arginine-rich splicing factor 2	6427.0	17:76734115-76737333	1	Yes	17q25.1	yes		MDS, CLL			L	Dom	oncogene	Mis				CCDS11749.1,ENSG00000161547.16,NM_003016.4,NP_003007,PR264,Q01130,SC-35,SC35,SFRS2,SFRS2A
SRSF3	serine/arginine-rich splicing factor 3	6428.0	6:36594368-36605600	1		6p21.31	yes		follicular lymphoma			L	Dom	oncogene, fusion	T	BCL6			CCDS4823.1,ENSG00000112081.16,NM_003017.4,NP_003008,P84103,SFRS3,SRp20
SSX1	synovial sarcoma, X breakpoint 1	6756.0	X:48255317-48267444	1		Xp11.23	yes		synovial sarcoma			M	Dom	oncogene, fusion	T	SS18			CCDS14290.1,CT5.1,ENSG00000126752.7,NM_005635.3,NP_005626,NP_001265620,Q16384
SSX2	synovial sarcoma, X breakpoint 2	6757.0	X:52696896-52707161	1		Xp11.22	yes		synovial sarcoma			M	Dom	oncogene, fusion	T	SS18			CCDS14345.2,CT5.2a,ENSG00000241476.8,HD21,HOM-MEL-40,MGC119055,MGC15364,MGC3884,NM_003147.5,NP_003138,NP_001265626.1,Q16385,SSX
SSX4	synovial sarcoma, X breakpoint 4	6759.0	X:48383527-48393347	1		Xp11.23	yes		synovial sarcoma			M	Dom	oncogene, fusion	T	SS18			CCDS35240.1,CT5.4,ENSG00000268009.5,NM_005636.3,NP_005627,O60224
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	6774.0	17:42313324-42388568	1	Yes	17q21.2	yes	yes	T-cell large granular lymphocytic leukaemia	paediatric large granular lymphocytic leukaemia		L	Dom	oncogene	Mis,O		yes	IPEX-like syndrome	APRF,CCDS32656.1,ENSG00000168610.14,NM_139276.2,NP_003141.2,NP_644805.1,P40763
STAT5B	signal transducer and activator of transcription 5B	6777.0	17:42199168-42276406	1	Yes	17q21.2	yes		large granular lymphocytic leukaemia, skin basal cell, APL			L, E	Dom	oncogene, TSG, fusion	Mis, O, T	RARA	yes	IPEX-like syndrome	CCDS11423.1,ENSG00000173757.9,NM_012448.3,NP_036580,P51692
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced	6778.0	12:57095408-57111433	1		12q13.3	yes		solitary fibrous tumour, meningeal haemangiopericytoma			M, O	Dom	oncogene, fusion	T	NAB2			CCDS8931.1,D12S1644,ENSG00000166888.11,IL-4-STAT,NM_003153.4,NP_003144,NP_001171549,P42226
STIL	SCL/TAL1 interrupting locus	6491.0	1:47250142-47314140	1		1p33	yes		T-ALL			L	Dom	oncogene, fusion	T	TAL1			CCDS41329.1,ENSG00000123473.15,MCPH7,NM_001048166.1,NP_001041631,Q15468,SIL
SUZ12	suppressor of zeste 12 homolog (Drosophila)	23512.0	17:31937018-32001045	1	Yes	17q11.2	yes		endometrial stromal tumour			M	Dom	oncogene, TSG, fusion	T	JAZF1			CCDS11270.1,CHET9,ENSG00000178691.10,JJAZ1,KIAA0160,NM_015355.3,NP_056170,Q15022
SYK	spleen tyrosine kinase	6850.0	9:90801787-90898549	1		9q22.2	yes		MDS, peripheral T-cell lymphoma			L	Dom	oncogene, fusion	T	ETV6, ITK			CCDS6688.1,ENSG00000165025.14,NM_003177.6,NP_003168,P43405
TAF15	TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa	8148.0	17:35809455-35847242	1		17q12	yes		extraskeletal myxoid chondrosarcoma, ALL			L, M	Dom	oncogene, fusion	T	NR4A3, CHN1, ZNF384			CCDS32623.1,ENSG00000270647.5,NM_139215.2,NP_631961,Npl3,Q92804,RBP56,TAF2N,hTAFII68
TAL1	T-cell acute lymphocytic leukemia 1 (SCL)	6886.0	1:47216292-47229771	1		1p33	yes		lymphoblastic leukaemia/biphasic			L	Dom	oncogene, fusion	T	TRD, STIL			CCDS547.1,ENSG00000162367.11,NM_003189.5,NP_003180,NP_001277332,NP_001277334,P17542,SCL,TCL5,bHLHa17
TAL2	T-cell acute lymphocytic leukemia 2	6887.0	9:105662457-105663112	1		9q31.2	yes		T-ALL			L	Dom	oncogene, fusion	T	TRB			CCDS6767.1,ENSG00000186051.6,NM_005421.2,NP_005412,Q16559,bHLHa19
TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	79718.0	3:177019355-177196478	1	Yes	3q26.32	yes		splenic marginal zone lymphoma, primary central nervous system lymphoma, colorectal carcinoma, gallbladder carcinoma			L, E, M	Rec	oncogene, TSG, fusion	F, Mis				C21,CCDS46961.1,DC42,ENSG00000177565.16,FLJ12894,IRA1,NM_001321195.1,NP_001308122,NP_001308124.1,Q9BZK7,TBLR1
TBX3	T-box 3	6926.0	12:114670255-114683590	1	Yes	12q24.21	yes		breast, large intestine, skin			E	Dom	oncogene, TSG	Mis, N, F, O		yes	ulnar-mammary syndrome	CCDS9176.1,ENSG00000135111.15,NM_016569.3,NP_057653,O15119,TBX3-ISO,UMS,XHL
TCF3	transcription factor 3 (E2A immunoglobulin enhancer binding factors E12/E47)	6929.0	19:1609290-1652329	1		19p13.3	yes		pre B-ALL			L	Dom	oncogene, TSG, fusion	T	PBX1, HLF, TFPT			CCDS12074.1,E2A,E47,ENSG00000071564.14,ITF1,MGC129647,MGC129648,NM_003200.3,NP_003191,NP_001338708.1,P15923,VDIR,bHLHb21,p75
TCF7L2	transcription factor 7-like 2	6934.0	10:112950407-113167493	1	Yes	10q25.3	yes		colorectal			E	Dom	oncogene, fusion	T	VTI1A			CCDS53577.1,ENSG00000148737.16,NM_001146274.1,NP_001139746,Q9NQB0,TCF-4,TCF4
TCL1A	T-cell leukemia/lymphoma 1A	8115.0	14:95709968-95714196	1	Yes	14q32.13	yes		T-CLL			L	Dom	oncogene, fusion	T	TRA			CCDS9941.1,ENSG00000100721.10,NM_021966.2,NP_068801,P56279,TCL1
TEC	tec protein tyrosine kinase	7006.0	4:48135783-48269864	2		4p12	yes		myxoid chondrosarcoma			M		oncogene, fusion	T				CCDS3481.1,ENSG00000135605.12,NM_003215.2,NP_003206,P42680,PSCTK4
TERT	telomerase reverse transcriptase	7015.0	5:1253167-1295047	1	Yes	5p15.33	yes	yes	melanoma, glioblastoma, hepatocellular carcinoma, bladder, skin basal cell, skin squamous cell, mesothelioma, medulloblastoma, other tumour types	melanoma		E, O	Dom	oncogene, TSG	Promoter Mis		yes	Dyskeratosis congenita, Telomere-related pulmonary fibrosis and/or bone marrow failure  1	CCDS3861.2,ENSG00000164362.18,EST2,NM_198253.2,NP_937983,O14746,TCS1,TP2,TRT,hEST2
TET1	tet methylcytosine dioxygenase 1	80312.0	10:68560656-68694482	1	Yes	10q21.3	yes		AML			L	Dom	oncogene, TSG, fusion	T	KMT2A			CCDS7281.1,CXXC6,ENSG00000138336.8,KIAA1676,LCX,NM_030625.2,NP_085128,Q8NFU7,bA119F7.1
TFE3	transcription factor binding to IGHM enhancer 3	7030.0	X:49028731-49043486	1	Yes	Xp11.23	yes		papillary renal, alveolar soft part sarcoma, renal			E	Dom	oncogene, fusion	T	SFPQ, ASPSCR1, PRCC, NONO, CLTC			CCDS14315.3,ENSG00000068323.16,NM_006521.5,NP_006512,NP_001269071.1,P19532,TFEA,bHLHe33
TFEB	transcription factor EB	7942.0	6:41683978-41736259	1		6p21.1	yes		renal cell carcinoma (childhood epithelioid)			E,M	Dom	oncogene, fusion	T	ALPHA			CCDS64425.1,ENSG00000112561.17,NM_001167827.2,NP_001161299,TCFEB,bHLHe35
TLX1	T-cell leukemia, homeobox 1 (HOX11)	3195.0	10:101130505-101137789	1		10q24.31	yes		T-ALL			L	Dom	oncogene, fusion	T	TRB, TRD			CCDS7510.1,ENSG00000107807.12,HOX11,NM_005521.3,NP_005512,P31314,TCL3
TLX3	T-cell leukemia, homeobox 3 (HOX11L2)	30012.0	5:171309284-171312134	1		5q35.1	yes		T-ALL			L	Dom	oncogene, fusion	T	BCL11B			CCDS34288.1,ENSG00000164438.5,HOX11L2,NM_021025.3,NP_066305,O43711,RNX
TMSB4X	Thymosin Beta 4 X-Linked	7114.0	X:12975110-12977226	2		Xp22.2	yes		DLBCL			L		oncogene	Mis, S, N, F				CCDS35202.1,ENSG00000205542.10,P62328,TB4X,TMSB4
TNC	tenascin C	3371.0	9:115020534-115118257	2		9q33.1	yes		SCC, melanoma			E		oncogene	Mis				CCDS6811.1,DFNA56,ENSG00000041982.15,HXB,MGC167029,NM_002160.3,NP_002151,P24821,TN
TNFRSF17	tumor necrosis factor receptor superfamily, member 17	608.0	16:11965107-11968068	1		16p13.13	yes		intestinal T-cell lymphoma			L	Dom	oncogene, fusion	T	IL2			BCM,BCMA,CCDS10552.1,CD269,ENSG00000048462.10,NM_001192.2,NP_001183,Q02223,TNFRSF13A
TP53	tumor protein p53	7157.0	17:7668402-7687538	1	Yes	17p13.1	yes	yes	breast, colorectal, lung, sarcoma, adrenocortical, glioma, Spitzoid tumour, multiple other tumour types	breast, sarcoma, adrenocortical carcinoma, glioma, multiple other tumour types	Li-Fraumeni syndrome	L, E, M, O	Rec	oncogene, TSG, fusion	Mis, N, F, T	NTRK1			CCDS11118.1,ENSG00000141510.16,LFS1,NM_001276761.1,NP_001119584,NP_000537,NP_001263689.1,NP_001263690.1,P04637,p53
TP63	tumor protein p63	8626.0	3:189631427-189897279	1	Yes	3q28	yes	yes	HNSCC, DLBCL	NSCLC		E		oncogene, TSG	Mis, N, T	TBL1XR1	yes	associated with Hay-Wells syndrome, ADULT syndrome, ectrodactyly, ectodermal dysplasia, and cleft lip/palate syndrome (EEC), acro-dermato-ungual-lacrimal-tooth syndrome, limb mammary syndrome, Rapp-Hodgkin syndrome, split hand-split foot malformation	CCDS3293.1,EEC3,ENSG00000073282.12,KET,NBP,NM_003722.4,NP_003713,NP_001316893.1,NP_001316077.1,OFC8,Q9H3D4,SHFM4,TP53CP,TP53L,TP73L,p51,p53CP,p63,p73H,p73L
TRIM24	tripartite motif containing 24	8805.0	7:138460334-138589993	1		7q34	yes		APL			L	Dom	oncogene, TSG, fusion	T	RARA			CCDS5847.1,ENSG00000122779.17,NM_015905.2,NP_056989,O15164,RNF82,TIF1,TIF1A,Tif1a,hTIF1
TRIM27	tripartite motif-containing 27	5987.0	6:28903002-28923989	1		6p22.1	yes		papillary thyroid			E	Dom	oncogene, fusion	T	RET			CCDS4654.1,ENSG00000204713.10,NM_006510.4,NP_006501,P14373,RFP,RNF76
TRRAP	transformation/transcription domain-associated protein	8295.0	7:98878490-99013243	1		7q22.1	yes		melanoma			E	Dom	oncogene	Mis				CCDS59066.1,ENSG00000196367.13,NM_001244580.1,NP_001231509,PAF400,Q9Y4A5,TR-AP,Tra1
U2AF1	U2 small nuclear RNA auxiliary factor 1	7307.0	21:43092956-43107587	1		21q22.3	yes		CLL, MDS			L	Dom	oncogene	Mis				CCDS13694.1,ENSG00000160201.11,NM_006758.2,NP_006749,Q01081,RN,RNU2AF1,U2AF35,U2AFBP
UBR5	ubiquitin protein ligase E3 component n-recognin 5	51366.0	8:102253012-102412841	1	Yes	8q22.3	yes		mantle cell lymphoma, gastric, colorectal			L, E	Rec	oncogene	F, N, Mis, S				CCDS34933.1,DD5,EDD,EDD1,ENSG00000104517.12,HYD,KIAA0896,NM_015902.5,NP_056986,O95071
USP6	ubiquitin specific peptidase 6 (Tre-2 oncogene)	9098.0	17:5116438-5174991	1		17p13.2	yes		aneurysmal bone cyst			M	Dom	oncogene, fusion	T	COL1A1, CDH11, CNBP, OMD, THRAP3			CCDS11069.2,ENSG00000129204.16,HRP1,NM_001304284.1,NP_001291213,P35125,TRE17,TRESMCR,Tre-2,Tre2
USP8	ubiquitin specific peptidase 8	9101.0	15:50424382-50514419	1	Yes	15q21.2	yes		corticotroph adenoma			E	Dom	oncogene	Mis, N				CCDS10137.1,ENSG00000138592.13,HumORF8,KIAA0055,NM_001128610.2,NP_001122082,P40818,SPG59,UBPY
WAS	Wiskott-Aldrich syndrome	7454.0	X:48683779-48691427	1	Yes	Xp11.23		yes		lymphoma	Wiskott-Aldrich syndrome	L	Rec/X	oncogene	Mis, N, F, S				CCDS14303.1,ENSG00000015285.10,IMD2,NM_000377.2,NP_000368,P42768,THC,WASP,WASPA
WT1	Wilms tumour 1 gene	7490.0	11:32387775-32435630	1		11p13	yes	yes	Wilms tumour, desmoplastic small round cell tumour	Wilms tumour	Denys-Drash syndrome, Frasier syndrome, familial Wilms tumour	O	Rec	oncogene, TSG, fusion	D, Mis, N, F, S, T	EWSR1			AWT1,CCDS7878.2,ENSG00000184937.13,GUD,NM_024426.4,NPHS4,NP_077744,NP_077744.4,WAGR,WIT-2
WWTR1	WW domain containing transcription regulator 1	25937.0	3:149517235-149703273	1		3q25.1	yes		epithelioid haemangioendothelioma			M	Dom	oncogene, fusion	T	CAMTA1			CCDS3144.1,DKFZp586I1419,ENSG00000018408.14,NM_001348362.1,NP_001161750,NP_001335291.1,Q9GZV5,TAZ
XPO1	exportin 1 (CRM1 homolog, yeast)	7514.0	2:61477849-61538283	1	Yes	2p15	yes		CLL			L	Dom	oncogene	Mis				CCDS33205.1,CRM1,ENSG00000082898.16,NM_003400.3,NP_003391,O14980,emb
ZEB1	zinc finger E-box binding homeobox 1	6935.0	10:31319172-31529813	2		10p11.22	yes		CCRCC, melanoma			E		oncogene	Mis				AREB6,BZP,CCDS53505.1,ENSG00000148516.21,FECD6,NIL-2-A,NM_001323676.1,NP_001167567,NP_001310600.1,NP_001310605.1,NP_001310574.1,NP_001310601.1,NP_001310602.1,NP_001310579.1,NP_001310590.1,NP_001310571.1,NP_001310572.1,NP_001310575.1,P37275,PPCD3,TCF8,ZEB,Zfhep,Zfhx1a
ZNF521	zinc finger protein 521	25925.0	18:25061926-25352152	1		18q11.2	yes		ALL			L	Dom	oncogene, fusion	T	PAX5			CCDS32806.1,EHZF,ENSG00000198795.10,Evi3,NM_015461.2,NP_056276,Q96K83
